Store,Name,Store Status,Address,City,State,Zip Code,Store Address,Report Date
4427,Kum & Go #507 / North Liberty,A,610 N Kansas Ave,North Liberty,IA,52317,"610 N Kansas Ave
North Liberty, IA 52317
(41.752948, -91.636982)",10/01/2018
4428,Kum & Go #200 / Ames,A,4510 Mortensen Rd,Ames,IA,50014,"4510 Mortensen Rd
Ames, IA 50014
(42.01214, -93.679803)",10/01/2018
4429,Kum & Go #32 / Colfax,A,1200 N Walnut St,Colfax,IA,50054,"1200 N Walnut St
Colfax, IA 50054
(41.686844, -93.247234)",10/01/2018
4430,Kum & Go #87 / Fort Dodge,I,1601 FIFTH AVENUE S,Fort Dodge,IA,50501,"1601 FIFTH AVENUE S
Fort Dodge, IA 50501
(42.501112, -94.175805)",10/01/2018
4431,Kum & Go #89 / Fort Dodge,I,115 N 22ND ST,Fort Dodge,IA,50501,"115 N 22ND ST
Fort Dodge, IA 50501
(42.507885, -94.168007)",10/01/2018
4432,Kum & Go #201 Coralville,I,822 1st Ave,Coralville,IA,52241,"822 1st Ave
Coralville, IA 52241
(41.681286, -91.565766)",10/01/2018
4433,Kum & Go #24  Pleasant Hill,A,5970 Morning Star Ct,Pleasant Hill,IA,50317,"5970 Morning Star Ct
Pleasant Hill, IA 50317
(41.597596, -93.492204)",10/01/2018
4434,Todd's,A,209 S Union St,Rock Rapids,IA,51246,"209 S Union St
Rock Rapids, IA 51246
(43.430056, -96.175502)",10/01/2018
4435,Kum & Go #220  Council Bluffs,I,2024 5th Ave,Council Bluffs,IA,51501,"2024 5th Ave
Council Bluffs, IA 51501
(41.25712, -95.874965)",10/01/2018
4436,Kum & Go #216  Ames,A,203 Welch Ave,Ames,IA,50010,"203 Welch Ave
Ames, IA 50010
(42.021236, -93.650125)",10/01/2018
4437,Kum & Go #215  Ames,I,4506 Lincoln Way,Ames,IA,50010,"4506 Lincoln Way
Ames, IA 50010
(42.022898, -93.679448)",10/01/2018
4438,Kum & Go #214  Ames,A,111 Duff Ave,Ames,IA,50010,"111 Duff Ave
Ames, IA 50010
(42.023592, -93.610396)",10/01/2018
4439,CENTER POINT FOODS,A,800 Ford Lane,Center Point,IA,52213,"800 Ford Lane
Center Point, IA 52213
(42.177736, -91.775735)",10/01/2018
4440,Kum & Go #219  Council Bluffs,I,154 Bennett Ave,Council Bluffs,IA,51503,"154 Bennett Ave
Council Bluffs, IA 51503
(41.252794, -95.820329)",10/01/2018
4444,Kum & Go #4127 / Sloan,A,1864 Hwy 141,Sloan,IA,51055,"1864 Hwy 141
Sloan, IA 51055
(42.228581, -96.236082)",10/01/2018
4445,Kum & Go #196 / Webster City,I,1102 2nd St,Webster City,IA,50595,"1102 2nd St
Webster City, IA 50595
(42.469524, -93.831461)",10/01/2018
4446,QUIK TRIP #513 / URBANDALE,A,4600 Merle Hay Rd,Urbandale,IA,50322,"4600 Merle Hay Rd
Urbandale, IA 50322
(41.644296, -93.697999)",10/01/2018
4447,QUIK TRIP #567 / URBANDALE,A,9915 Douglas Ave,Urbandale,IA,50322,"9915 Douglas Ave
Urbandale, IA 50322
(41.62945, -93.755433)",10/01/2018
4448,Kum & Go #572 / URBANDALE,A,4860 NW Urbandale Dr,Urbandale,IA,50322,"4860 NW Urbandale Dr
Urbandale, IA 50322
(41.646391, -93.769429)",10/01/2018
4449,Kum & Go #121 / Urbandale,A,12041 Douglas Pkwy,Urbandale,IA,50322,"12041 Douglas Pkwy
Urbandale, IA 50322
(41.62962, -93.782998)",10/01/2018
4450,Kum & Go #157 / Urbandale,A,4585 156th St,Urbandale,IA,50323,"4585 156th St
Urbandale, IA 50323
(41.643162, -93.833463)",10/01/2018
4451,Kum & Go #96 / WEBSTER CITY,I,1803 Superior St,Webster City,IA,50595,"1803 Superior St
Webster City, IA 50595
(42.459531, -93.815845)",10/01/2018
4452,Select Mart    Gordon Dr,A,2825 Gordon Dr,Sioux City,IA,51105,"2825 Gordon Dr
Sioux City, IA 51105
(42.489632, -96.372014)",10/01/2018
4453,SID'S GAS and GROCERIES,A,"1116, Hwy 69 South",Forest City,IA,50436,"1116, Hwy 69 South
Forest City, IA 50436
(43.248981, -93.637202)",10/01/2018
4454,Kum & Go #248 / Sioux City,A,2026 Riverside Blvd,Sioux City,IA,51109,"2026 Riverside Blvd
Sioux City, IA 51109
(42.51496, -96.474603)",10/01/2018
4455,Kum & Go #1959 / Eldora,A,2359 Edgington Ave,Eldora,IA,50627,"2359 Edgington Ave
Eldora, IA 50627
(42.360612, -93.113653)",10/01/2018
4456,Kum & Go #53 / Iowa City,A,955 Morman Trek Blvd,Iowa City,IA,52246,"955 Morman Trek Blvd
Iowa City, IA 52246
(41.649946, -91.574075)",10/01/2018
4457,Kum & Go #422 / Iowa City,A,731 S Riverside Dr,Iowa City,IA,52246,"731 S Riverside Dr
Iowa City, IA 52246
(41.650697, -91.540196)",10/01/2018
4461,QUIK TRIP #503 / WINDSOR HEIGHTS,A,7220 Hickman Rd,Windsor Heights,IA,50324,"7220 Hickman Rd
Windsor Heights, IA 50324
(41.614647, -93.717442)",10/01/2018
4462,SHELTON'S,A,113 1st St NW,Buffalo Center,IA,50424,"113 1st St NW
Buffalo Center, IA 50424
(43.386755, -93.947595)",10/01/2018
4458,QUIK TRIP #568 / JOHNSTON,A,5169 Merle Hay Rd,Johnston,IA,50131,"5169 Merle Hay Rd
Johnston, IA 50131
(41.654161, -93.697533)",10/01/2018
4459,Kum & Go #544 / Eagle Grove,A,1120 S Commercial,Eagle Grove,IA,50533,"1120 S Commercial
Eagle Grove, IA 50533
(42.653973, -93.9044)",10/01/2018
4463,Casey's General Store #3031 / Garner,A,145 Us Hwy 18 W,Garner,IA,50438,"145 Us Hwy 18 W
Garner, IA 50438
(43.105833, -93.603007)",10/01/2018
4464,Perfect Value Liquor Mart,A,5b  Lincoln Ave,Eldridge,IA,52748,"5b Lincoln Ave
Eldridge, IA 52748
(41.695329, -90.547796)",10/01/2018
4466,THE PUMPER,A,515 W Water St,Fayette,IA,52142,"515 W Water St
Fayette, IA 52142
(42.844438, -91.80894)",10/01/2018
4467,Kum & Go #438 / Muscatine,A,1429 PARK AVE,MUSCATINE,IA,52761,"1429 PARK AVE
MUSCATINE, IA 52761
(41.441918, -91.030595)",10/01/2018
4468,CIRCLE K #6600 / MUSCATINE,A,802 Cypress St,Muscatine,IA,52761,"802 Cypress St
Muscatine, IA 52761
(41.431606, -91.041149)",10/01/2018
4470,Kum & Go #211 / WATERLOO,I,1976 Franklin St,Waterloo,IA,50703,"1976 Franklin St
Waterloo, IA 50703
(42.495308, -92.314939)",10/01/2018
4471,Kum & Go #212 / WATERLOO,I,117 E San Marnan Dr,Waterloo,IA,50702,"117 E San Marnan Dr
Waterloo, IA 50702
(42.457847, -92.355753)",10/01/2018
4472,Quick Shop Foods / Centerville,A,1023 South Main,Centerville,IA,52544,"1023 South Main
Centerville, IA 52544
(40.724175, -92.874182)",10/01/2018
4473,Casey's General Store #92 / Panora,A,"113, NE 3rd St",Panora,IA,50216,"113, NE 3rd St
Panora, IA 50216
(41.692351, -94.361364)",10/01/2018
4474,Bucky's Express #34 / Council Bluffs,A,3501 W Broadway St,Council Bluffs,IA,51501,"3501 W Broadway St
Council Bluffs, IA 51501
(41.261916, -95.902733)",10/01/2018
4475,Bucky's Express #27 / Council Bluffs,A,2713 S 24th St,Council Bluffs,IA,51501,"2713 S 24th St
Council Bluffs, IA 51501
(41.234536, -95.879147)",10/01/2018
4476,Bucky's Express #16 / Council Bluffs,A,15 North 16th St,Council Bluffs,IA,51501,"15 North 16th St
Council Bluffs, IA 51501
(41.262352, -95.867464)",10/01/2018
4477,Bucky's Express #17 / Council Bluffs,A,1759 Madison Ave,Council Bluffs,IA,51503,"1759 Madison Ave
Council Bluffs, IA 51503
(41.242658, -95.824952)",10/01/2018
4478,U S Gas,A,3000 SW 9th St,Des Moines,IA,50315,"3000 SW 9th St
Des Moines, IA 50315
(41.557862, -93.625682)",10/01/2018
4480,Circle K #6602 / Clinton,A,1530 North 2nd St,Clinton,IA,52732,"1530 North 2nd St
Clinton, IA 52732
(41.861892, -90.183722)",10/01/2018
4481,THE LIQUOR HOUSE,I,425 Gilbert St,Iowa City,IA,52240,"425 Gilbert St
Iowa City, IA 52240
(41.656031, -91.530225)",10/01/2018
4482,Indy 66 West #929 / Indianola,A,2001 W 2nd Ave,Indianola,IA,50125,"2001 W 2nd Ave
Indianola, IA 50125
(41.356153, -93.587628)",10/01/2018
4493,Casey's General Store #2850 / Cedar Rapids,A,5655 C St SW,Cedar Rapids,IA,52404,"5655 C St SW
Cedar Rapids, IA 52404
(41.922505, -91.637306)",10/01/2018
4495,Casey's General Store #3055 / Grundy Center,A,"504, G Ave",Grundy Center,IA,50638,"504, G Ave
Grundy Center, IA 50638
(42.361494, -92.770411)",10/01/2018
4496,B P ON 1ST,A,"2824, 1st Ave NE",Cedar Rapids,IA,52402,"2824, 1st Ave NE
Cedar Rapids, IA 52402
(42.005867, -91.634838)",10/01/2018
4497,Casey's General Store #20 / Alden,A,"1008, Grand",Alden,IA,50006,"1008, Grand
Alden, IA 50006
(42.514223, -93.380237)",10/01/2018
4499,Casey's General Store #1316 / Milford,A,510 Okoboji Ave,Milford,IA,51351,"510 Okoboji Ave
Milford, IA 51351
(43.320094, -95.149937)",10/01/2018
4500,Casey's General Store #2788 / North Liberty,A,595 N Kansas Ave,North Liberty,IA,52317,"595 N Kansas Ave
North Liberty, IA 52317
(41.751925, -91.636952)",10/01/2018
4501,Kum & Go #134 / Fairfield,A,1601 W Burlington Ave,Fairfield,IA,52556,"1601 W Burlington Ave
Fairfield, IA 52556
(41.006447, -91.981752)",10/01/2018
4502,Neighborhood Mart / Waterloo,I,"2100, Lafayette St",Waterloo,IA,50703,"2100, Lafayette St
Waterloo, IA 50703
(42.489914, -92.313972)",10/01/2018
4503,Casey's General Store #38 / Treynor,A,102 W Main St,Treynor,IA,51575,"102 W Main St
Treynor, IA 51575
(41.232472, -95.617322)",10/01/2018
